batter_a,year,strikeout_mean.1.00,strikeout_mean.2.00,strikeout_mean.3.00,strikeout_mean.4.00,strikeout_mean.5.00,strikeout_mean.6.00,strikeout_mean.7.00,strikeout_mean.8.00,walk_mean.1.00,walk_mean.2.00,walk_mean.3.00,walk_mean.4.00,walk_mean.5.00,walk_mean.6.00,walk_mean.7.00,walk_mean.8.00
stubd001,"2,012.00",0.25,0.30,0.27,0.25,0.27,0.27,0.28,0.42,0.03,0.07,0.10,0.17,0.07,0.10,0.07,0.02
stubd001,"2,013.00",0.33,0.23,0.33,0.32,0.25,0.22,0.28,0.32,0.12,0.02,0.08,0.05,0.07,0.12,0.07,0.13
suare001,"2,016.00",0.15,0.18,0.38,0.37,0.30,0.17,0.22,0.22,0.07,0.07,0.05,0.05,0.13,0.07,0.07,0.05
suzui001,"2,012.00",0.05,0.08,0.05,0.10,0.07,0.12,0.15,0.05,0.05,0.02,0.08,0.00,0.00,0.03,0.03,0.00
suzui001,"2,013.00",0.12,0.08,0.13,0.08,0.08,0.13,0.03,0.10,0.05,0.03,0.02,0.07,0.05,0.03,0.00,0.03
suzuk001,"2,014.00",0.07,0.07,0.08,0.08,0.10,0.08,0.10,0.10,0.13,0.08,0.03,0.05,0.05,0.13,0.03,0.02
suzuk001,"2,015.00",0.13,0.08,0.10,0.12,0.10,0.08,0.13,0.17,0.08,0.07,0.03,0.02,0.05,0.07,0.05,0.05
swisn001,"2,012.00",0.18,0.20,0.27,0.18,0.22,0.30,0.25,0.15,0.10,0.05,0.05,0.10,0.10,0.23,0.10,0.13
swisn001,"2,013.00",0.17,0.17,0.25,0.20,0.27,0.13,0.28,0.20,0.15,0.08,0.10,0.10,0.12,0.18,0.05,0.08
taylm002,"2,015.00",0.35,0.43,0.18,0.25,0.35,0.28,0.32,0.28,0.03,0.07,0.05,0.05,0.00,0.05,0.07,0.07
teixm001,"2,012.00",0.10,0.13,0.13,0.12,0.15,0.22,0.17,0.18,0.08,0.03,0.12,0.12,0.15,0.12,0.08,0.07
teixm001,"2,014.00",0.23,0.17,0.22,0.13,0.17,0.15,0.22,0.32,0.15,0.08,0.15,0.08,0.05,0.13,0.10,0.08
tejar001,"2,012.00",0.15,0.25,0.08,0.17,0.12,0.15,0.15,0.08,0.12,0.02,0.03,0.05,0.07,0.03,0.05,0.07
tomay001,"2,016.00",0.18,0.23,0.17,0.35,0.28,0.25,0.18,0.22,0.08,0.07,0.07,0.03,0.02,0.02,0.03,0.08
troum001,"2,012.00",0.25,0.22,0.10,0.17,0.22,0.20,0.28,0.13,0.10,0.08,0.05,0.10,0.07,0.10,0.08,0.12
troum001,"2,013.00",0.22,0.17,0.12,0.25,0.17,0.10,0.10,0.20,0.07,0.12,0.08,0.15,0.07,0.15,0.05,0.10
troum001,"2,014.00",0.20,0.33,0.28,0.18,0.15,0.23,0.20,0.32,0.07,0.12,0.13,0.17,0.12,0.20,0.07,0.08
troum001,"2,015.00",0.20,0.25,0.18,0.20,0.23,0.28,0.22,0.25,0.08,0.13,0.05,0.05,0.05,0.15,0.08,0.12
